ID_obra,URL_img,Motivo
HF00825/031,https://content3.cdnprado.net/imagenes/Documentos/imgsem/e5/e560/e560e9fa-1336-471d-8f67-b7f1b19fab30/22f7dc1d-1ba0-43f2-b9e4-e336d69d87f2_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/031.jpg.part'
HF00825/032,https://content3.cdnprado.net/imagenes/Documentos/imgsem/ff/ff9f/ff9f7326-a47d-41ee-bd21-3c4a9fcbb14f/f9fc5839-737f-451c-b643-d5fbd258f274_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/032.jpg.part'
HF00825/033,https://content3.cdnprado.net/imagenes/Documentos/imgsem/ed/ed47/ed47f9a5-5182-409a-a306-579ca3f1e76a/627ac438-44aa-4b6b-8044-91d0f2cfa27b_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/033.jpg.part'
HF00825/034,https://content3.cdnprado.net/imagenes/Documentos/imgsem/1b/1b4e/1b4e62f8-3c8a-45fd-93fd-0821d4f8f931/a9482ff2-c701-4d0d-95b6-f406d695faba_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/034.jpg.part'
HF00825/035,https://content3.cdnprado.net/imagenes/Documentos/imgsem/c1/c1e1/c1e19581-e0a5-4e23-992d-452fbebad115/22d39239-d782-47f6-87f4-80921fb6c72c_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/035.jpg.part'
HF00825/036,https://content3.cdnprado.net/imagenes/Documentos/imgsem/b8/b8ec/b8ecf472-d74a-4005-b384-67e660d4f3c9/95045e79-157e-4a38-81c6-4c49506a64ab_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/036.jpg.part'
HF00825/037,https://content3.cdnprado.net/imagenes/Documentos/imgsem/21/2182/21827d0a-920b-44a8-8c67-2f963d9406c0/16740a36-1a7e-48ef-84a1-dc5cdb4e0db7_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/037.jpg.part'
HF00825/038,https://content3.cdnprado.net/imagenes/Documentos/imgsem/81/8113/8113d957-77e6-4edc-b833-01585ca774c6/f7a6bcc3-2aa3-4c49-b93f-248894d6f6df_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/038.jpg.part'
HF00825/039,https://content3.cdnprado.net/imagenes/Documentos/imgsem/35/35be/35bed12b-6720-4418-b1d9-4b93538a3241/e99c31a5-c2c3-443b-aa8c-ac147fe87227_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/039.jpg.part'
HF00825/040,https://content3.cdnprado.net/imagenes/Documentos/imgsem/b1/b1ab/b1ab6d97-3508-4d9b-b439-b912cea1870b/93062a46-1d9d-4fc0-bb40-93e0349dfe42_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/040.jpg.part'
HF00825/041,https://content3.cdnprado.net/imagenes/Documentos/imgsem/6b/6b08/6b08facb-6ab1-4f20-a1c7-4542e27435fd/cc95fc8c-b01e-4c69-867c-c9be32421779_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/041.jpg.part'
HF00825/042,https://content3.cdnprado.net/imagenes/Documentos/imgsem/25/2504/2504873a-b714-4619-8617-49c86c919218/17483ce6-f78e-4e29-ba47-5898da0626cf_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/042.jpg.part'
HF00825/043,https://content3.cdnprado.net/imagenes/Documentos/imgsem/d4/d447/d4473109-f8da-48f0-b423-19e91b12f434/c517b51d-3156-4a2c-960a-ccce34f691b4_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/043.jpg.part'
HF00825/044,https://content3.cdnprado.net/imagenes/Documentos/imgsem/f7/f775/f7753347-f1f9-4e37-8001-729037e4ef3c/70c8c7d3-7736-4644-afaf-9539815698d1_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/044.jpg.part'
HF00825/045,https://content3.cdnprado.net/imagenes/Documentos/imgsem/db/db9b/db9b9b5b-cce5-46e2-a57f-0fd009d753ba/67598e0d-4996-4de3-8c51-927a505f22f7_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/045.jpg.part'
HF00825/046,https://content3.cdnprado.net/imagenes/Documentos/imgsem/04/04e3/04e398a1-4447-4849-ba00-40924ab12c4b/62b3353e-9faf-4134-97e7-4312c6fe26a2_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/046.jpg.part'
HF00825/047,https://content3.cdnprado.net/imagenes/Documentos/imgsem/c2/c2ba/c2ba5b01-1277-4f58-bb8c-c18b63d55e5f/6f13bcfc-f452-43f0-a30c-bfc29762b12e_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/047.jpg.part'
HF00825/048,https://content3.cdnprado.net/imagenes/Documentos/imgsem/30/30dd/30dd144a-df28-4d21-8edb-97364677c8e6/afcb0ce6-c6c1-4154-9a48-62ea597ce595_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/048.jpg.part'
HF00825/049,https://content3.cdnprado.net/imagenes/Documentos/imgsem/48/4830/4830850b-b841-4e17-8ed0-c278aa8949dc/d063e556-172d-4e26-831b-aae67f4f71ea_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/049.jpg.part'
HF00825/050,https://content3.cdnprado.net/imagenes/Documentos/imgsem/9a/9a4e/9a4e67ac-ab2c-44b9-994f-760d99b49827/e64dfe45-42b8-4691-8b3f-0ae983cde35d_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/050.jpg.part'
HF00825/051,https://content3.cdnprado.net/imagenes/Documentos/imgsem/5e/5e81/5e818a69-34bf-4e3c-ae4c-8f9a591ce5dc/0205f097-ae91-4491-8654-388ffe9db4bb_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/051.jpg.part'
HF00825/052,https://content3.cdnprado.net/imagenes/Documentos/imgsem/d6/d60b/d60b2c1e-8bb0-490b-aa2f-1400875d045a/9ad39f4c-c762-429c-8193-f411f973f28e_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/052.jpg.part'
HF00825/053,https://content3.cdnprado.net/imagenes/Documentos/imgsem/b8/b856/b85618e8-8128-495a-b748-c58140736177/e05c5d8f-7a15-4c4e-8a20-02f53c897be9_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/053.jpg.part'
HF00825/054,https://content3.cdnprado.net/imagenes/Documentos/imgsem/5d/5d66/5d660b4c-ebb9-4ef7-b6b2-72ea21927982/bc8f7bfb-06a1-4889-b6d7-efa8b8d4ad92_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/054.jpg.part'
HF00825/055,https://content3.cdnprado.net/imagenes/Documentos/imgsem/68/68c0/68c03122-9562-4dd3-8d56-b0a8ca92fb62/097663b0-7302-48c4-a1f8-339002774687_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/055.jpg.part'
HF00825/056,https://content3.cdnprado.net/imagenes/Documentos/imgsem/27/27e1/27e1f682-8a95-4baa-93cd-9f4b626dcc75/d27c5deb-d144-4f61-9ee2-22715161ca8a_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/056.jpg.part'
HF00825/057,https://content3.cdnprado.net/imagenes/Documentos/imgsem/11/11a0/11a078e5-57a1-4252-8909-b0f9ec10dac1/7240fced-6c95-416f-a006-a19607f2d6d6_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/057.jpg.part'
HF00825/058,https://content3.cdnprado.net/imagenes/Documentos/imgsem/e6/e6a7/e6a741b1-8452-4072-afab-25dfaa7c94d6/0e05c086-b5d9-4d51-85ca-6557363c8354_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/058.jpg.part'
HF00825/059,https://content3.cdnprado.net/imagenes/Documentos/imgsem/1d/1d48/1d48011f-c19a-4668-9ff1-269cec805a1e/c148b707-eefa-4fa6-a560-0c8ba683b55c_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/059.jpg.part'
HF00825/060,https://content3.cdnprado.net/imagenes/Documentos/imgsem/cb/cbb9/cbb9b806-0d1c-476c-9f30-6bc289cd49fd/82874ae3-4f2a-4017-982a-0adc9e586341_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/060.jpg.part'
HF00825/061,https://content3.cdnprado.net/imagenes/Documentos/imgsem/6d/6da8/6da8bec3-5a61-4cfa-8a8e-58e949a86126/5a632441-5806-454d-83cf-0d0fa62aeeaf_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/061.jpg.part'
HF00825/062,https://content3.cdnprado.net/imagenes/Documentos/imgsem/a5/a563/a563944c-c519-4e96-b6a0-cbe80dc7ceb1/7541a13b-fe1e-4528-8533-72fb2ba42037_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/062.jpg.part'
HF00825/063,https://content3.cdnprado.net/imagenes/Documentos/imgsem/e5/e59f/e59fb209-c777-4768-91c8-c5b0a71d6040/cf8dcd83-0d56-467b-be36-7da88bf371b0_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/063.jpg.part'
HF00825/064,https://content3.cdnprado.net/imagenes/Documentos/imgsem/ca/caf2/caf25719-d5c8-4dd0-93c1-9e3d1d11f840/acd883ac-adc9-4d43-b24b-6423eef7be04_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/064.jpg.part'
HF00825/065,https://content3.cdnprado.net/imagenes/Documentos/imgsem/a6/a684/a6844adf-46b7-4483-b492-9a8b78815451/d9f2ad78-f0a9-429a-a207-baa83c38e6a0_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/065.jpg.part'
HF00825/066,https://content3.cdnprado.net/imagenes/Documentos/imgsem/9b/9bee/9bee2091-bf9e-446d-af02-1814052633bf/e15eab19-1cb4-4fd2-bae5-ce1463f392cb_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/066.jpg.part'
HF00825/067,https://content3.cdnprado.net/imagenes/Documentos/imgsem/99/9966/99666dda-fb64-4acd-af3d-268d472cec17/c8504111-20d0-45df-b480-bc9ff65ff30f_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/067.jpg.part'
HF00825/068,https://content3.cdnprado.net/imagenes/Documentos/imgsem/92/92b5/92b59325-ce1d-4b79-b881-3fcc4f276cb7/bc35dad0-c856-45c6-89cb-8e98d5986a8a_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/068.jpg.part'
HF00825/069,https://content3.cdnprado.net/imagenes/Documentos/imgsem/7d/7d59/7d591285-8856-47be-8d01-c8f3998ea055/3c61b9dc-c53f-4229-9e84-c1b8ca53f8c0_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/069.jpg.part'
HF00825/070,https://content3.cdnprado.net/imagenes/Documentos/imgsem/7d/7df4/7df4ebea-a13b-44cf-8b3d-39f57d1591c1/759a8535-8dfb-439e-9eb5-9aab1a145a3f_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/070.jpg.part'
HF00825/071,https://content3.cdnprado.net/imagenes/Documentos/imgsem/7c/7c10/7c10c9ef-7f98-4d0b-81d2-2c18e16ac4a0/967965e6-5e39-439a-93ed-a5b213654828_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/071.jpg.part'
HF00825/072,https://content3.cdnprado.net/imagenes/Documentos/imgsem/b6/b604/b604ca3b-2b98-4687-97d7-d4efb00a25c1/72184d70-b93a-46df-a6f0-f97387e50d14_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/072.jpg.part'
HF00825/073,https://content3.cdnprado.net/imagenes/Documentos/imgsem/cd/cd6d/cd6d2194-b984-4fd0-8ed8-cc45a006f069/2ddec986-6273-4946-9973-84f9b9a98e19_832.jpg,[Errno 2] No such file or directory: 'obras/HF00825/073.jpg.part'
