ID_obra,URL_obra,URL_img
HF00024,https://www.museodelprado.es/coleccion/obra-de-arte/vendedor-de-vestidos-en-el-cairo/57490e30-c54c-4775-8839-1d46b8b2446e,https://content3.cdnprado.net/imagenes/Documentos/imgsem/57/5749/57490e30-c54c-4775-8839-1d46b8b2446e/99dc25a1-8303-4b31-a632-ed311d16f63e_832.jpg
HF00025,https://www.museodelprado.es/coleccion/obra-de-arte/mercado-de-caballos-en-el-cairo/cf31a624-a0d7-4550-9738-6efa083b1c4b,https://content3.cdnprado.net/imagenes/Documentos/imgsem/cf/cf31/cf31a624-a0d7-4550-9738-6efa083b1c4b/61a0f85a-2787-43f5-a458-33edaac0749f_832.jpg
HF00026,https://www.museodelprado.es/coleccion/obra-de-arte/un-duelo-despues-del-baile/fe431985-8aa0-47f9-8064-e1082c873243,https://content3.cdnprado.net/imagenes/Documentos/imgsem/fe/fe43/fe431985-8aa0-47f9-8064-e1082c873243/ec2e9abb-509d-49ff-8870-a0982b7fb1a3_832.jpg
HF00027,https://www.museodelprado.es/coleccion/obra-de-arte/7-de-diciembre-de-1815/bd9be241-e21a-46a1-b03f-3f4382b5ac38,https://content3.cdnprado.net/imagenes/Documentos/imgsem/bd/bd9b/bd9be241-e21a-46a1-b03f-3f4382b5ac38/e928ccd5-188a-40ff-bce3-8c1ce56c0bc6_832.jpg
HF00028,https://www.museodelprado.es/coleccion/obra-de-arte/el-general-bonaparte-en-egipto/8056a58f-ebb3-4405-b3b2-edcff607fbbc,https://content3.cdnprado.net/imagenes/Documentos/imgsem/80/8056/8056a58f-ebb3-4405-b3b2-edcff607fbbc/107e77bd-f1bb-4866-99b2-61df12c99712_832.jpg
HF00029,https://www.museodelprado.es/coleccion/obra-de-arte/el-general-bonaparte-en-el-cairo/c6a6f3d9-f10c-4e2d-97e9-13dc6e59260c,https://content3.cdnprado.net/imagenes/Documentos/imgsem/c6/c6a6/c6a6f3d9-f10c-4e2d-97e9-13dc6e59260c/a96e1717-2f9f-4757-b6cc-85c0f531c85e_832.jpg
HF00030,https://www.museodelprado.es/coleccion/obra-de-arte/el-prisionero/e2ac34bc-b749-4385-b686-d1767fe82486,https://content3.cdnprado.net/imagenes/Documentos/imgsem/e2/e2ac/e2ac34bc-b749-4385-b686-d1767fe82486/11524891-4967-485d-bca3-8f52ca8f84a6_832.jpg
HF00031,https://www.museodelprado.es/coleccion/obra-de-arte/el-paseo-del-haren/b109dd7c-75e6-411c-82c4-5c0db4113b51,https://content3.cdnprado.net/imagenes/Documentos/imgsem/b1/b109/b109dd7c-75e6-411c-82c4-5c0db4113b51/b3d59a6e-440b-4b3a-85f7-938e4d0662f1_832.jpg
HF00032,https://www.museodelprado.es/coleccion/obra-de-arte/mercader-de-armas-en-el-cairo/3023a3d5-42f4-4594-82c9-4b6eee16de2c,https://content3.cdnprado.net/imagenes/Documentos/imgsem/30/3023/3023a3d5-42f4-4594-82c9-4b6eee16de2c/6f99a9b7-3e06-4526-a592-a49f69d1f5a3_832.jpg
HF00033,https://www.museodelprado.es/coleccion/obra-de-arte/el-muro-de-salomon/dff07f65-284a-4055-af27-4d523705858e,https://content3.cdnprado.net/imagenes/Documentos/imgsem/df/dff0/dff07f65-284a-4055-af27-4d523705858e/afd56b9c-9a72-4656-914e-455bd9870885_832.jpg
HF00034,https://www.museodelprado.es/coleccion/obra-de-arte/una-partida-de-ajedrez/624c2917-50d5-4171-8a5a-69fca39fa370,https://content3.cdnprado.net/imagenes/Documentos/imgsem/62/624c/624c2917-50d5-4171-8a5a-69fca39fa370/596dbaaa-3ec2-44e2-89fd-f6ca45da748a_832.jpg
HF00035,https://www.museodelprado.es/coleccion/obra-de-arte/el-general-bonaparte-en-el-cairo/71374ca4-a94b-40d5-90f0-97b733b9b71c,https://content3.cdnprado.net/imagenes/Documentos/imgsem/71/7137/71374ca4-a94b-40d5-90f0-97b733b9b71c/5899218c-c871-4182-bd70-c296a37e6d4e_832.jpg
HF00036,https://www.museodelprado.es/coleccion/obra-de-arte/una-calle-de-el-cairo/4373c96b-3757-44bf-a2a3-e1f577727614,https://content3.cdnprado.net/imagenes/Documentos/imgsem/43/4373/4373c96b-3757-44bf-a2a3-e1f577727614/701ef78d-b4aa-48fd-b544-e6c80ffcc428_832.jpg
HF00037,https://www.museodelprado.es/coleccion/obra-de-arte/en-el-desierto-o-el-arabe-y-su-caballo-de-carreras/01568458-5388-4322-bbba-3ed44b07555a,https://content3.cdnprado.net/imagenes/Documentos/imgsem/01/0156/01568458-5388-4322-bbba-3ed44b07555a/a1223ce5-06b4-49ad-9c61-c19086a128bc_832.jpg
HF00038,https://www.museodelprado.es/coleccion/obra-de-arte/bao-arabe-o-el-aseo-en-el-bao/a052c1c3-3757-469f-a4bd-5e45fe13c3c5,https://content3.cdnprado.net/imagenes/Documentos/imgsem/a0/a052/a052c1c3-3757-469f-a4bd-5e45fe13c3c5/70e1c127-c718-43da-bd82-b9b4f256f9f7_832.jpg
HF00039,https://www.museodelprado.es/coleccion/obra-de-arte/arabes-atravesando-el-desierto/11595f3e-0abb-4798-8d0d-92673dd0bf9e,https://content3.cdnprado.net/imagenes/Documentos/imgsem/11/1159/11595f3e-0abb-4798-8d0d-92673dd0bf9e/12a22d02-216d-4d3f-900a-ca784dff46b0_832.jpg
HF00040,https://www.museodelprado.es/coleccion/obra-de-arte/alegorias-de-la-musica-en-italia-y-de-la-musica/b59d8c15-3eaa-4112-a83e-bfbc00633eec,https://content3.cdnprado.net/imagenes/Documentos/imgsem/b5/b59d/b59d8c15-3eaa-4112-a83e-bfbc00633eec/6103333e-af64-4d98-bcc9-d0bac7f72dbb_832.jpg
HF00041,https://www.museodelprado.es/coleccion/obra-de-arte/arabe-y-sus-perros/8d138c7f-9643-426b-8c9a-73533db0ac45,https://content3.cdnprado.net/imagenes/Documentos/imgsem/8d/8d13/8d138c7f-9643-426b-8c9a-73533db0ac45/584ebca8-0888-4c31-8f76-1ef356274bcd_832.jpg
HF00042,https://www.museodelprado.es/coleccion/obra-de-arte/una-discusion/7ba30694-f338-47fa-8453-8eef9c376a23,https://content3.cdnprado.net/imagenes/Documentos/imgsem/7b/7ba3/7ba30694-f338-47fa-8453-8eef9c376a23/674d0d7f-4d6f-47fe-a550-952f250fcdde_832.jpg
HF00043,https://www.museodelprado.es/coleccion/obra-de-arte/trapero-espaol/5e9e4428-0c4d-4bd4-bfdf-b2cbe7d295ff,https://content3.cdnprado.net/imagenes/Documentos/imgsem/5e/5e9e/5e9e4428-0c4d-4bd4-bfdf-b2cbe7d295ff/ea1c0ed0-c545-4d75-9f15-22545dc31e71_832.jpg
HF00044,https://www.museodelprado.es/coleccion/obra-de-arte/alegorias-de-la-musica-en-roma-y-la-musica-en/1438204c-b645-48d5-af37-02629e3646a7,https://content3.cdnprado.net/imagenes/Documentos/imgsem/14/1438/1438204c-b645-48d5-af37-02629e3646a7/02bc20ea-1d64-47a6-95e5-565e83e4d35a_832.jpg
HF00044/001,NA,NA
HF00044/002,NA,NA
